mission,chan_id,subsystem,confidence,evidence
MSL,C-1,comms,high,"MSL-only prefix. DESCANSO MSL Chapter 8 §8.1.7.1: MSL telecom subsystem uses UHF (Electra), X-band SDST, SSPA all in WEB. C = comm/comms window management channels. MSL ISA reports for C-1/C-2 show comm-window anomalies (labeled_anomalies.csv contextual anomalies at comm-window transitions)."
MSL,C-2,comms,high,"Same as C-1."
MSL,D-14,comms,medium,"D-prefix = data management/CDH per DESCANSO SMAP §6 (same subsystem naming convention carried to MSL; MSL rover avionics handles CDH via rover compute elements RCE). Mapped to comms as closest 5-class label. DESCANSO MSL §8.1.7.1: rover avionics provide command, data handling, power regulation."
MSL,D-15,comms,medium,"Same as D-14."
MSL,D-16,comms,medium,"Same as D-14."
MSL,F-4,attitude,low,"MSL F channels: ambiguous. Possible fault-protection (GNC-linked → attitude) or possibly propulsion/mechanism. DESCANSO MSL §8.1.7: GNC used during surface traverse. Low confidence; attitude is best fit for 5-class schema. Alternative: comms if F = frequency/RF subsystem."
MSL,F-5,attitude,low,"Same as F-4."
MSL,F-7,attitude,low,"Same as F-4."
MSL,F-8,attitude,low,"Same as F-4."
MSL,M-1,thermal,medium,"MSL-only M prefix. MSL power is MMRTG (Multi-Mission Radioisotope Thermoelectric Generator). DESCANSO MSL §8.1.7.1: MMRTG generates constant heat; thermal control system manages waste heat via HRS fluid loop. M channels most likely monitor MMRTG temperatures/currents — owned by thermal subsystem. Ambiguous with power."
MSL,M-2,thermal,medium,"Same as M-1."
MSL,M-3,thermal,medium,"Same as M-1."
MSL,M-4,thermal,medium,"Same as M-1."
MSL,M-5,thermal,medium,"Same as M-1."
MSL,M-6,thermal,medium,"Same as M-1."
MSL,M-7,thermal,medium,"Same as M-1."
MSL,P-10,power,high,"P = power per telemanom README + DESCANSO SMAP §6 (convention consistent across SMAP/MSL JPL missions). DESCANSO MSL §8.1.7.1: rover power from MMRTG + two 42 A-hr batteries; power regulation by RPAM modules."
MSL,P-11,power,high,"Same as P-10."
MSL,P-14,power,high,"Same as P-10."
MSL,P-15,power,high,"Same as P-10."
MSL,S-2,power,high,"S = solar/power analog. For MSL, S-2 is most likely a power-source monitor (MMRTG output or battery state-of-charge). DESCANSO MSL §8.1.7.1: power from MMRTG; battery SOC monitored. No solar array on MSL (RTG-powered), so S may reference 'source power.' Mapped to power."
MSL,T-4,thermal,high,"T = thermal per telemanom README convention + JPL standard. DESCANSO MSL §8.1.7.1: Thermal Control monitors wide Martian temperature range; electronic heaters, HRS fluid loop, RAMP temperature. T channels = thermal."
MSL,T-5,thermal,high,"Same as T-4."
MSL,T-8,thermal,high,"Same as T-4."
MSL,T-9,thermal,high,"Same as T-4."
MSL,T-12,thermal,high,"Same as T-4."
MSL,T-13,thermal,high,"Same as T-4."
